DATE,STATE,COUNTY,LATITUDE,LONGITUDE,SPECIES,IDNUMBER,SEX,RELATIVEAGE
4/23/2018,AL,JEFFERSON,33.486733,-86.778947,RACCOONS,JR18144,FEMALE,ADULT
5/24/2018,AL,ETOWAH,33.960194,-86.022161,RACCOONS,JR18152,FEMALE,ADULT
4/23/2018,AL,SHELBY,33.095322,-86.842103,RACCOONS,JR18149,MALE,ADULT
6/7/2018,AL,ETOWAH,34.025576,-86.050471,RACCOONS,JR18154,FEMALE,ADULT
6/4/2018,AL,MADISON,34.721757,-86.587254,RACCOONS,JR18141,FEMALE,ADULT
12/12/2018,AL,MARSHALL,34.270288,-86.224485,RACCOONS,JR18260,MALE,ADULT
9/14/2018,AL,JEFFERSON,33.45131,-86.98919,RACCOONS,AL18044,MALE,ADULT
8/8/2018,AL,COLBERT,34.78635,-87.62857,RACCOONS,TN1804,MALE,ADULT
8/5/2018,AL,MORGAN,34.572997,-86.928892,RACCOONS,JR18202,FEMALE,ADULT
7/14/2018,AL,BLOUNT,34.2388,-86.5014,RACCOONS,JR18164,FEMALE,ADULT
9/11/2018,AL,CULLMAN,34.130647,-86.84172,RACCOONS,JR18243,MALE,ADULT
10/15/2018,AL,ST CLAIR,33.586215,-86.286089,RACCOONS,JR18237,MALE,ADULT
7/6/2018,AL,ETOWAH,34.02311,-85.997366,RACCOONS,JR18166,FEMALE,ADULT
10/30/2018,AL,JEFFERSON,33.486009,-86.779541,RACCOONS,JR18270,FEMALE,ADULT
8/3/2018,AL,LEE,32.6594833,-85.4963588,RACCOONS,ALCJ1801,FEMALE,ADULT
8/4/2018,AL,LAUDERDALE,34.824485,-87.648683,RACCOONS,JR18204,MALE,ADULT
6/2/2018,AL,SHELBY,33.303929,-86.661108,RACCOONS,JR18151,MALE,ADULT
7/12/2018,AL,COLBERT,34.78635,-87.62857,RACCOONS,TN1801,FEMALE,ADULT
9/7/2018,AL,CULLMAN,34.175861,-86.840294,RACCOONS,JR18210,FEMALE,ADULT
8/14/2018,AL,ETOWAH,34.01464,-86.006639,RACCOONS,JR18219,FEMALE,ADULT
12/14/2018,AL,ETOWAH,34.014891,-86.004065,RACCOONS,JR18258,MALE,ADULT
8/16/2018,AL,COLBERT,34.79284,-87.62633,RACCOONS,TN1807,MALE,ADULT
8/8/2018,AL,LAUDERDALE,34.827073,-87.691168,RACCOONS,JR18205,FEMALE,ADULT
9/26/2018,AL,CULLMAN,34.129633,-86.841939,RACCOONS,JR18214,MALE,ADULT
6/19/2018,AL,MADISON,34.782182,-86.709214,RACCOONS,JR18143,FEMALE,ADULT
9/18/2018,AL,JEFFERSON,33.46632,-86.9592,RACCOONS,AL18099,FEMALE,ADULT
10/3/2018,AL,ETOWAH,34.014264,-86.006639,RACCOONS,JR18215,MALE,ADULT
7/30/2018,AL,MORGAN,34.518942,-86.942686,RACCOONS,JR18201,MALE,ADULT
12/26/2018,AL,JEFFERSON,33.461281,-86.815511,RACCOONS,JR18271,MALE,ADULT
7/16/2018,AL,MARENGO,32.48524,-87.93101,RACCOONS,TB1802,MALE,ADULT
10/21/2018,AL,JEFFERSON,33.486009,-86.779541,RACCOONS,JR18267,MALE,ADULT
9/7/2018,AL,CULLMAN,34.175861,-86.840294,RACCOONS,JR18211,MALE,ADULT
8/2/2018,AL,LIMESTONE,34.6756,-87.02059,RACCOONS,JR18193,FEMALE,ADULT
8/13/2018,AL,MARSHALL,34.286741,-86.208091,RACCOONS,JR18185,FEMALE,ADULT
7/13/2018,AL,MORGAN,34.573841,-86.936512,RACCOONS,JR18200,FEMALE,ADULT
8/15/2018,AL,COLBERT,34.79284,-87.62633,RACCOONS,TN1806,MALE,ADULT
8/7/2018,AL,MADISON,34.658589,-86.486146,RACCOONS,JR18249,MALE,ADULT
8/3/2018,AL,JEFFERSON,33.486009,-86.779541,RACCOONS,JR18183,MALE,ADULT
9/4/2018,AL,MORGAN,34.541896,-87.007053,RACCOONS,JR18262,FEMALE,ADULT
9/9/2018,AL,ETOWAH,34.048793,-85.992217,RACCOONS,JR18233,MALE,ADULT
11/27/2018,AL,ETOWAH,34.005136,-86.006795,RACCOONS,JR18257,MALE,ADULT
7/4/2018,AL,LAUDERDALE,34.825011,-87.686387,RACCOONS,JR18162,MALE,ADULT
12/19/2018,AL,MARSHALL,34.289305,-86.459318,RACCOONS,JR18239,MALE,ADULT
5/23/2018,AL,JEFFERSON,33.486009,-86.779541,RACCOONS,JR18146,FEMALE,ADULT
10/24/2018,AL,JEFFERSON,33.456502,-86.830786,RACCOONS,JR18268,FEMALE,ADULT
8/12/2018,AL,MORGAN,34.515038,-86.923954,RACCOONS,JR18203,MALE,ADULT
8/15/2018,AL,ETOWAH,34.009845,-86.012895,RACCOONS,JR18220,FEMALE,ADULT
8/8/2018,AL,ETOWAH,34.025168,-86.010782,RACCOONS,JR18179,FEMALE,ADULT
8/13/2018,AL,JEFFERSON,33.486009,-86.779541,RACCOONS,JR18265,MALE,ADULT
8/3/2018,AL,ETOWAH,33.997044,-86.027776,RACCOONS,JR18178,MALE,ADULT
7/31/2018,AL,ETOWAH,34.021918,-86.01445,RACCOONS,JR18176,FEMALE,ADULT
6/5/2018,AL,MORGAN,34.586764,-86.94469,RACCOONS,JR18199,FEMALE,ADULT
12/24/2018,AL,ETOWAH,34.014264,-86.006639,RACCOONS,JR18259,MALE,ADULT
8/10/2018,AL,COLBERT,34.78635,-87.62857,RACCOONS,TN1805,MALE,ADULT
8/3/2018,AL,LEE,32.6594833,-85.4963588,RACCOONS,ALCJ1802,FEMALE,ADULT
7/5/2018,AL,LIMESTONE,34.645932,-86.867481,RACCOONS,JR18189,MALE,ADULT
7/26/2018,AL,LIMESTONE,34.680291,-87.020327,RACCOONS,JR18191,MALE,ADULT
10/10/2018,AL,JEFFERSON,33.486009,-86.779541,RACCOONS,JR18266,MALE,ADULT
9/7/2018,AL,ETOWAH,34.004087,-86.010662,RACCOONS,JR18232,FEMALE,ADULT
11/7/2018,AL,ETOWAH,33.981047,-86.018436,RACCOONS,JR18254,FEMALE,ADULT
8/7/2018,AL,MADISON,34.731109,-86.623384,RACCOONS,JR18247,FEMALE,ADULT
6/28/2018,AL,LAUDERDALE,34.839139,-87.649926,RACCOONS,JR18161,MALE,ADULT
8/13/2018,AL,JEFFERSON,33.486009,-86.779541,RACCOONS,JR18184,MALE,ADULT
6/4/2018,AL,ETOWAH,34.02847,-86.039077,RACCOONS,JR18153,FEMALE,ADULT
8/9/2018,AL,LIMESTONE,34.6756,-87.02059,RACCOONS,JR18195,FEMALE,ADULT
5/10/2018,AL,ST CLAIR,33.566878,-86.427343,RACCOONS,JR18207,FEMALE,ADULT
8/15/2018,AL,COLBERT,34.78635,-87.62857,RACCOONS,TN1805-A,MALE,ADULT
5/7/2018,AL,SHELBY,33.142236,-86.773052,RACCOONS,JR18150,MALE,ADULT
9/11/2018,AL,CULLMAN,34.175861,-86.840294,RACCOONS,JR18242,FEMALE,ADULT
7/6/2018,AL,LAUDERDALE,34.836656,-87.651824,RACCOONS,JR18163,FEMALE,ADULT
5/10/2018,AL,MADISON,34.706182,-86.442102,RACCOONS,JR18140,FEMALE,ADULT
7/19/2018,AL,ETOWAH,34.016425,-86.060024,RACCOONS,JR18169,MALE,ADULT
6/22/2018,AL,JEFFERSON,33.470554,-86.777153,RACCOONS,JR18147,MALE,ADULT
