State,County,ERS_Tiers,Samples_needed,County_area,Priority,Notes
Alabama,Bibb,High,20,Central and east,1,
Alabama,Blount,High,8,4 southwest 4 northeast,2,"Along Highway 278 in NE, between Highways 79 and 31 in the SW"
Alabama,Calhoun,Low,20,Throughout ,1,
Alabama,Chambers,None,20,Throughout ,1,
Alabama,Cherokee,High,20,Throughout ,1,
Alabama,Cherokee,Low,20,Throughout ,1,
Alabama,Chilton,High,20,Throughout ,1,
Alabama,Choctaw,High,10,Throughout ,2,
Alabama,Clarke,High,10,Throughout ,2,
Alabama,Clay,Low,20,Throughout ,1,
Alabama,Cleburne,Low,20,Throughout ,1,
Alabama,Colbert,None,8,"5 in west, 3 in east",2,"West and east of Highway 43, perhaps aling Highway 72"
Alabama,Conecuh,Low,10,Throughout ,2,
Alabama,Coosa,Low,20,Throughout ,1,
Alabama,Cullman,High,8,45 west and 3 east,1,West of I-65 and east of Highway 31
Alabama,DeKalb,High,5,Southwest,1,Perhaps along Highway 68 and 75N
Alabama,Elmore,Low,20,Throughout ,1,
Alabama,Fayette,High,5,East,2,Along and east of Highways 43 and 13N
Alabama,Franklin,None,10,Throughout ,2,
Alabama,Jackson,High,5,Northwest,2,Northwest of Highway 72
Alabama,Jefferson,High,6,Northwest,1,Northwest of I-20 and I-59
Alabama,Lauderdale,High,10,Throughout ,2,
Alabama,Lawrence,High,10,North ,2,Along and north of Highway 157
Alabama,Limestone,High,5,North,2,Along and north of Highway 72
Alabama,Madison,High,5,North,2,North along Highway 231
Alabama,Marengo,High,10,Throughout ,2,
Alabama,Marion,None,8,West and northeast,2,4 west of Highway 43 and 4 north of Highway 278
Alabama,Morgan,High,4,East,2,East of I-65
Alabama,Perry,High,10,Throughout ,1,
Alabama,Randolph,Low,20,Throughout ,1,
Alabama,Randolph,None,10,Throughout ,1,
Alabama,Shelby,High,8,Throughout ,1,
Alabama,St. Clair,High,5,Northeast,1,
Alabama,Talladega,Low,20,Throughout ,1,
Alabama,Tallapoosa,Low,20,Throughout ,1,
Alabama,Tuscaloosa,High,5,Northeast,1,
Alabama,Walker,High,8,4 west and 4 southeast,1,
Alabama,Washington,High,10,Throughout ,2,
Alabama,Wilcox,High,10,Throughout ,2,
Alabama,Winston,High,5,Southeast,2,
Alabama,Winston,None,5,Throughout ,2,South of highway 278
Georgia,Barrow,None,10,Throughout ,2,
Georgia,Bartow,Low,10,Throughout ,1,
Georgia,Carroll,Low,15,Throughout ,1,
Georgia,Chattooga,High,5,Throughout ,2,
Georgia,Cherokee,Low,5,Northeastern,2,East of I-575
Georgia,Cobb,Low,10,Throughout ,1,
Georgia,DeKalb,Low,10,Throughout ,2,
Georgia,DeKalb,None,10,Throughout ,2,
Georgia,Douglas,Low,10,Throughout ,2,
Georgia,Fannin,High,6,West and south,1,West and south of highway 76
Georgia,Floyd,High,5,Western,1,West of highway 27
Georgia,Floyd,Low,10,Throughout ,1,
Georgia,Franklin,Low,10,Throughout ,2,
Georgia,Fulton,Low,20,Throughout ,2,
Georgia,Fulton,None,10,Throughout ,2,
Georgia,Gordon,High,5,Central and Southwest,2,
Georgia,Gwinnett,Low,10,South and Central,2,South of I-85
Georgia,Gwinnett,None,10,Throughout ,2,
Georgia,Habersham,Low,10,Throughout ,1,
Georgia,Hall,Low,7,North and Southeast,1,"Along I-985, also north and south east of the interstate"
Georgia,Haralson,Low,10,Throughout ,1,
Georgia,Hart,Low,10,Throughout ,2,
Georgia,Lumpkin,Low,10,Throughout ,1,
Georgia,Paulding,Low,10,Throughout ,1,
Georgia,Pickens,High,5,Throughout ,1,
Georgia,Pickens,Low,10,Throughout ,1,
Georgia,Rabun,High,10,Throughout ,1,
Georgia,Rabun,Low,10,Throughout ,1,
Georgia,Stephens,Low,10,Throughout ,1,
Georgia,Towns,High,10,Throughout ,1,
Georgia,White,Low,10,Throughout ,1,
Kentucky,Bell,None,10,Throughout,2,
Kentucky,Floyd,None,10,Throughout,2,
Kentucky,Harlan,None,20,Throughout,1,
Kentucky,Knott,None,10,Throughout,2,
Kentucky,Leslie,None,10,Throughout,2,
Kentucky,Letcher,High,10,Throughout,1,
Kentucky,Letcher,None,10,Throughout,1,
Kentucky,Martin,None,10,Throughout,2,
Kentucky,Perry,None,10,Throughout,2,
Kentucky,Pike,High,20,Throughout,1,
Kentucky,Pike,None,10,Throughout,1,
Maine,Aroostook,High-1,10,Throughout,1,"Raccoon and road deisities are low, but any samples help"
Maine,Aroostook,High-2,5,Throughout,1,"Raccoon and road deisities are low, but any samples help"
Maine,Cumberland,Low,5,Throughout,2,
Maine,Franklin,Low,5,Throughout,2,
Maine,Knox,None,5,Throughout,2,
Maine,Lincoln,None,5,Throughout,2,
Maine,Oxford,High,5,Throughout,1,"Raccoon and road deisities are low, but any samples help"
Maine,Oxford,Low,7,Central and west,2,
Maine,Penobscot,High,5,Noth and west,2,"Raccoon and road deisities are low, but any samples help"
Maine,Penobscot,Low,5,South and east,2,"Raccoon and road deisities are low, but any samples help"
Maine,Piscataquis,High,10,Throughout,2,"Raccoon and road deisities are low, but any samples help"
Maine,Piscataquis,Low,3,Northeast ,2,"Raccoon and road deisities are low, but any samples help"
Maine,Somerset,High,10,Throughout,1,"Raccoon and road deisities are low, but any samples help"
Maine,Somerset,Low,5,Throughout,2,
Maine,Washington,Low,10,Throughout,1,
Maine,Washington,None,10,Throughout,1,
Massachusetts,Berkshire,None,8,Throughout,1,
Massachusetts,Bristol,Low,6,3 Northwest and 3 southwest,1,
Massachusetts,Franklin,None,8,Throughout,1,
Massachusetts,Hampden,None,6,"3 west end, 3 east end",2,
Massachusetts,Hampshire,None,5,Center and west,1,
Massachusetts,Worcester,Low,5,North ,2,
Massachusetts,Worcester,None,10,Northwest,1,
Mississippi,Alcorn,None,5,Throughout,2,
Mississippi,Clarke,High,5,Throughout,1,
Mississippi,Clarke,None,5,Throughout,1,
Mississippi,Clay,None,5,Throughout,2,
Mississippi,George,High,5,Throughout,1,
Mississippi,Greene,High,10,Throughout,1,
Mississippi,Itawamba,None,5,Throughout,2,
Mississippi,Jackson,High,10,Throughout,1,
Mississippi,Jasper,None,5,Throughout,2,
Mississippi,Jones,None,5,Throughout,2,
Mississippi,Kemper,None,10,Throughout,1,
Mississippi,Lauderdale,None,10,Throughout,1,
Mississippi,Lee,None,5,Throughout,2,
Mississippi,Lowndes,None,5,Throughout,2,
Mississippi,Monroe,None,5,Throughout,2,
Mississippi,Neshoba,None,5,Throughout,2,
Mississippi,Newton,None,5,Throughout,2,
Mississippi,Noxubee,None,5,Throughout,2,
Mississippi,Perry,None,10,Throughout,1,
Mississippi,Prentiss,None,5,Throughout,2,
Mississippi,Tishomingo,None,5,Throughout,2,
Mississippi,Wayne,High,5,Throughout,1,
Mississippi,Wayne,None,5,Throughout,1,
New Hampshire,Carroll,Low,8,North and east,2,North and east of highway 16
New Hampshire,Cheshire,None,10,Throughout,2,
New Hampshire,Coos,High,10,North,1,North of Highway 26 and near Canadian border
New Hampshire,Coos,Low,8,North,1,"3 East and 3 west along highway 2, 3 south along road 16"
New Hampshire,Grafton,Low,5,North,1,"North of road 25A and west of I-93, in and around ORV zone"
New Hampshire,Hillsborough,None,10,Throughout,2,
New Hampshire,Merrimack,None,5,Throughout,2,North of I-89 and west of I-93
New Hampshire,Rockingham,None,10,Throughout,2,
New Hampshire,Strafford,None,10,Throughout,2,
New Hampshire,Sullivan,Low,10,Throughout,2,
New Hampshire,Sullivan,None,10,Throughout,2,
New York,Bronx,None,10,Throughout,2,"Urban habitats require more samples due, based on possible density"
New York,Dutchess,None,6,Center and East,2,
New York,Essex,High,5,Eastern,1,"Raccoon density is low, any samples help, east of  I-87"
New York,Essex,Low,5,Eastern,1,"Raccoon density is low, any samples help, east of  I-87"
New York,Franklin,High-1,5,South,1,"Raccoon density is low, any samples help"
New York,Franklin,High-2,5,South,1,"Raccoon density is low, any samples help"
New York,Hamilton,Low,10,North and west,1,"Raccoon density is low, any samples help"
New York,Hamilton,None,5,Throughout,1,"Raccoon density is low, any samples help"
New York,Herkimer,Low,5,North,1,"Raccoon density is low, any samples help"
New York,Herkimer,None,5,Throughout,2,
New York,Kings,None,10,Throughout,2,"Urban habitats require more samples due, based on possible density"
New York,Nassau,None,5,Throughout,1,
New York,New York,None,5,Throughout,2,
New York,Orange,None,10,Throughout,2,
New York,Putnam,None,5,Throughout,2,
New York,Queens,None,10,Throughout,2,"Urban habitats require more samples due, based on possible density"
New York,Richmond,None,5,Throughout,2,
New York,Rockland,None,5,Throughout,2,
New York,St. Lawrence,High-1,5,Southeastern corner,1,"Raccoon density is low, any samples help"
New York,St. Lawrence,High-2,5,Southeastern corner,1,"Raccoon density is low, any samples help"
New York,Suffolk,None,8,Throughout,1,
New York,Sullivan,None,10,Throughout,2,
New York,Ulster,None,9,Throughout,2,
New York,Westchester,None,7,Center and south,2,
North Carolina,Alexander,Low,10,Throughout,2,
North Carolina,Alexander,None,5,Throughout,2,
North Carolina,Alleghany,Low,10,Throughout,1,
North Carolina,Buncombe,High,5,Eastern,1,East of Asheville
North Carolina,Caldwell,Low,10,Throughout,1,
North Carolina,Catawba,Low,10,Throughout,2,
North Carolina,Catawba,None,10,Throughout,2,
